time_us,in_ms,in_dr,in_gs,in_yr,in_rv,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F
100504782,100504,4.15999985,15.3256721,0.0216400344,0,0.088965416,35,4.15999985,1.23988259,0.262754768,0.0906438157,0.00381075288,0
100524774,100524,4.30666685,15.2788334,0.022382902,0,0.0906438157,36,4.30666685,1.28244579,0.272852451,0.0923927203,0.00395870628,0
100544766,100544,4.30666685,15.2325974,0.0232495256,0,0.0923927203,37,4.30666685,1.33209968,0.273680627,0.0941233709,0.00390552799,0
100564758,100564,4.30666685,15.1869793,0.0241567716,0,0.0941233709,37,4.30666685,1.38408101,0.274502724,0.0958340093,0.00384880486,0
100584750,100584,4.30666685,15.141902,0.0251028799,0,0.0958340093,37,4.30666685,1.43828905,0.275319904,0.0975229293,0.00378866214,0
100604742,100604,4.30666685,15.0973949,0.0260852054,0,0.0975229293,37,4.30666685,1.49457204,0.276131541,0.0991884843,0.00372527144,0
100624734,100624,4.44000006,15.0534086,0.0269099697,0,0.0991884843,39,4.44000006,1.54182756,0.285512358,0.100915074,0.00385051966,0
100644726,100644,4.44000006,15.009901,0.0278908033,0,0.100915074,39,4.44000006,1.5980252,0.286339939,0.102618009,0.00378679973,0
100664718,100664,4.44000006,14.966835,0.0288070682,0,0.102618009,39,4.44000006,1.6505233,0.287163854,0.104299121,0.00372754387,0
100684710,100684,4.44000006,14.924159,0.0296820253,0,0.104299121,39,4.44000006,1.70065463,0.287984997,0.105959475,0.00367102143,0
100704702,100704,4.44000006,14.8818264,0.0304258019,0,0.105959475,40,4.44000006,1.74326992,0.288804233,0.107603312,0.00362419244,0
100724694,100724,4.57333326,14.8397942,0.0312228948,0,0.107603312,41,4.57333326,1.78893995,0.298319608,0.109310217,0.00375260366,0
100744686,100744,4.57333326,14.7980185,0.0319707207,0,0.109310217,41,4.57333326,1.83178723,0.299161792,0.111000359,0.00370528805,0
