#frames
class,type,ok,motor,roll,pitch,yaw,throttle,order
4,3,1,4,1056964607,1056964608,3204448256,1065353216,8
4,3,1,5,3204448255,1056964608,1056964608,1065353216,2
4,3,1,6,3204448256,3204448256,3204448256,1065353216,4
4,3,1,7,1056964607,3204448256,1056964608,1065353216,6
4,4,0,-1,0,0,0,0,0
4,5,0,-1,0,0,0,0,0
4,6,0,-1,0,0,0,0,0
4,7,0,-1,0,0,0,0,0
4,8,0,-1,0,0,0,0,0
4,9,0,-1,0,0,0,0,0
4,10,0,-1,0,0,0,0,0
4,11,0,-1,0,0,0,0,0
4,12,1,0,3204448256,3204448256,3204448256,1065353216,3
4,12,1,1,3204448255,1056964608,1056964608,1065353216,1
4,12,1,2,1056964607,3204448256,1056964608,1065353216,5
4,12,1,3,1056964607,1056964608,3204448256,1065353216,7
4,12,1,4,3204448256,3204448256,1056964608,1065353216,4
4,12,1,5,3204448255,1056964608,3204448256,1065353216,2
4,12,1,6,1056964607,3204448256,3204448256,1065353216,6
4,12,1,7,1056964607,1056964608,1056964608,1065353216,8
4,13,0,-1,0,0,0,0,0
4,14,1,0,3204448255,1056964608,1056964608,1065353216,1
4,14,1,1,3204448255,1056964608,3204448256,1065353216,2
4,14,1,2,3204448256,3204448256,3204448256,1065353216,3
4,14,1,3,3204448256,3204448256,1056964608,1065353216,4
4,14,1,4,1056964607,3204448256,1056964608,1065353216,5
4,14,1,5,1056964607,3204448256,3204448256,1065353216,6
4,14,1,6,1056964607,1056964608,3204448256,1065353216,7
4,14,1,7,1056964607,1056964608,1056964608,1065353216,8
4,15,0,-1,0,0,0,0,0
4,16,0,-1,0,0,0,0,0
4,17,0,-1,0,0,0,0,0
4,18,1,0,3204448256,3204448256,1056964608,1065353216,3
4,18,1,1,3204448255,1056964608,3204448256,1065353216,1
4,18,1,2,1056964607,3204448256,3204448256,1065353216,5
4,18,1,3,1056964607,1056964608,1056964608,1065353216,7
4,18,1,4,3204448256,3204448256,3204448256,1065353216,4
4,18,1,5,3204448255,1056964608,1056964608,1065353216,2
4,18,1,6,1056964607,3204448256,1056964608,1065353216,6
4,18,1,7,1056964607,1056964608,3204448256,1065353216,8
4,19,0,-1,0,0,0,0,0
4,20,1,0,3202770532,1055286885,1055286886,1063675494,1
4,20,1,1,1055286884,1055286885,3202770534,1063675494,7
4,20,1,2,1055286884,3202770533,1055286886,1063675494,5
4,20,1,3,3202770534,3202770533,3202770534,1063675494,3
4,20,1,4,1056964607,1056964608,3204448256,1065353216,8
4,20,1,5,3204448255,1056964608,1056964608,1065353216,2
4,20,1,6,3204448256,3204448256,3204448256,1065353216,4
4,20,1,7,1056964607,3204448256,1056964608,1065353216,6
4,21,1,0,3202770532,1055286885,1055286886,1063675494,1
