#common
kind,a,b,c,out
f16_get,216,0,0,928514048
f16_get,217,0,0,928579584
f16_get,218,0,0,928645120
f16_get,219,0,0,928710656
f16_get,220,0,0,928776192
f16_get,221,0,0,928841728
f16_get,222,0,0,928907264
f16_get,223,0,0,928972800
f16_get,224,0,0,929038336
f16_get,225,0,0,929103872
f16_get,226,0,0,929169408
f16_get,227,0,0,929234944
f16_get,228,0,0,929300480
f16_get,229,0,0,929366016
f16_get,230,0,0,929431552
f16_get,231,0,0,929497088
f16_get,232,0,0,929562624
f16_get,233,0,0,929628160
f16_get,234,0,0,929693696
f16_get,235,0,0,929759232
f16_get,236,0,0,929824768
f16_get,237,0,0,929890304
f16_get,238,0,0,929955840
f16_get,239,0,0,930021376
f16_get,240,0,0,930086912
f16_get,241,0,0,930152448
f16_get,242,0,0,930217984
f16_get,243,0,0,930283520
f16_get,244,0,0,930349056
f16_get,245,0,0,930414592
f16_get,246,0,0,930480128
f16_get,247,0,0,930545664
f16_get,248,0,0,930611200
f16_get,249,0,0,930676736
f16_get,250,0,0,930742272
f16_get,251,0,0,930807808
f16_get,252,0,0,930873344
f16_get,253,0,0,930938880
f16_get,254,0,0,931004416
f16_get,255,0,0,931069952
f16_get,256,0,0,931135488
f16_get,257,0,0,931168256
f16_get,258,0,0,931201024
f16_get,259,0,0,931233792
f16_get,260,0,0,931266560
f16_get,261,0,0,931299328
f16_get,262,0,0,931332096
f16_get,263,0,0,931364864
f16_get,264,0,0,931397632
f16_get,265,0,0,931430400
f16_get,266,0,0,931463168
f16_get,267,0,0,931495936
f16_get,268,0,0,931528704
f16_get,269,0,0,931561472
f16_get,270,0,0,931594240
f16_get,271,0,0,931627008
f16_get,272,0,0,931659776
f16_get,273,0,0,931692544
f16_get,274,0,0,931725312
f16_get,275,0,0,931758080
f16_get,276,0,0,931790848
f16_get,277,0,0,931823616
f16_get,278,0,0,931856384
f16_get,279,0,0,931889152
f16_get,280,0,0,931921920
f16_get,281,0,0,931954688
f16_get,282,0,0,931987456
f16_get,283,0,0,932020224
f16_get,284,0,0,932052992
f16_get,285,0,0,932085760
f16_get,286,0,0,932118528
f16_get,287,0,0,932151296
f16_get,288,0,0,932184064
f16_get,289,0,0,932216832
f16_get,290,0,0,932249600
f16_get,291,0,0,932282368
f16_get,292,0,0,932315136
f16_get,293,0,0,932347904
f16_get,294,0,0,932380672
f16_get,295,0,0,932413440
f16_get,296,0,0,932446208
f16_get,297,0,0,932478976
f16_get,298,0,0,932511744
f16_get,299,0,0,932544512
f16_get,300,0,0,932577280
f16_get,301,0,0,932610048
f16_get,302,0,0,932642816
f16_get,303,0,0,932675584
f16_get,304,0,0,932708352
f16_get,305,0,0,932741120
f16_get,306,0,0,932773888
f16_get,307,0,0,932806656
f16_get,308,0,0,932839424
f16_get,309,0,0,932872192
f16_get,310,0,0,932904960
f16_get,311,0,0,932937728
f16_get,312,0,0,932970496
f16_get,313,0,0,933003264
f16_get,314,0,0,933036032
f16_get,315,0,0,933068800
f16_get,316,0,0,933101568
f16_get,317,0,0,933134336
f16_get,318,0,0,933167104
f16_get,319,0,0,933199872
f16_get,320,0,0,933232640
f16_get,321,0,0,933265408
f16_get,322,0,0,933298176
f16_get,323,0,0,933330944
f16_get,324,0,0,933363712
f16_get,325,0,0,933396480
f16_get,326,0,0,933429248
f16_get,327,0,0,933462016
f16_get,328,0,0,933494784
f16_get,329,0,0,933527552
f16_get,330,0,0,933560320
f16_get,331,0,0,933593088
f16_get,332,0,0,933625856
f16_get,333,0,0,933658624
f16_get,334,0,0,933691392
f16_get,335,0,0,933724160
f16_get,336,0,0,933756928
f16_get,337,0,0,933789696
f16_get,338,0,0,933822464
f16_get,339,0,0,933855232
f16_get,340,0,0,933888000
f16_get,341,0,0,933920768
f16_get,342,0,0,933953536
f16_get,343,0,0,933986304
f16_get,344,0,0,934019072
f16_get,345,0,0,934051840
f16_get,346,0,0,934084608
f16_get,347,0,0,934117376
f16_get,348,0,0,934150144
f16_get,349,0,0,934182912
f16_get,350,0,0,934215680
f16_get,351,0,0,934248448
f16_get,352,0,0,934281216
f16_get,353,0,0,934313984
f16_get,354,0,0,934346752
f16_get,355,0,0,934379520
f16_get,356,0,0,934412288
f16_get,357,0,0,934445056
f16_get,358,0,0,934477824
f16_get,359,0,0,934510592
f16_get,360,0,0,934543360
f16_get,361,0,0,934576128
f16_get,362,0,0,934608896
f16_get,363,0,0,934641664
f16_get,364,0,0,934674432
f16_get,365,0,0,934707200
f16_get,366,0,0,934739968
f16_get,367,0,0,934772736
f16_get,368,0,0,934805504
f16_get,369,0,0,934838272
f16_get,370,0,0,934871040
f16_get,371,0,0,934903808
f16_get,372,0,0,934936576
f16_get,373,0,0,934969344
f16_get,374,0,0,935002112
