name,key,idx,group_element,type,default
Q_FWD_THR_USE,99,0,2427,1,0
Q_BCK_PIT_LIM,99,0,2491,4,10
Q_APPROACH_DIST,99,0,2555,4,0
Q_TKOFF_RPM_MIN,99,0,2619,2,0
Q_TKOFF_RPM_MAX,99,0,2683,2,0
Q_THRST_LOSS_OPT,99,0,2747,3,0
TUNE_PARAM,100,0,1,2,0
TUNE_CHAN,100,0,64,1,0
TUNE_CHAN_MIN,100,0,128,2,1000
TUNE_CHAN_MAX,100,0,192,2,2000
TUNE_SELECTOR,100,0,256,1,0
TUNE_RANGE,100,0,320,4,2
TUNE_MODE_REVERT,100,0,384,1,1
TUNE_ERR_THRESH,100,0,448,4,0.150000006
RLL2SRV_TCONST,102,0,0,4,0.5
RLL2SRV_RMAX,102,0,4,2,0
RLL_RATE_P,102,0,4041,4,0.0799999982
RLL_RATE_I,102,0,73,4,0.150000006
RLL_RATE_D,102,0,137,4,0
RLL_RATE_FF,102,0,265,4,0.344999999
RLL_RATE_IMAX,102,0,329,4,0.666000009
RLL_RATE_FLTT,102,0,585,4,3
RLL_RATE_FLTE,102,0,649,4,0
RLL_RATE_FLTD,102,0,713,4,12
RLL_RATE_SMAX,102,0,777,4,150
RLL_RATE_PDMX,102,0,841,4,0
RLL_RATE_D_FF,102,0,905,4,0
RLL_RATE_NTF,102,0,969,1,0
RLL_RATE_NEF,102,0,1033,1,0
PTCH2SRV_TCONST,103,0,0,4,0.5
PTCH2SRV_RMAX_UP,103,0,4,2,0
PTCH2SRV_RMAX_DN,103,0,5,2,0
PTCH2SRV_RLL,103,0,6,4,1
PTCH_RATE_P,103,0,4043,4,0.0399999991
PTCH_RATE_I,103,0,75,4,0.150000006
PTCH_RATE_D,103,0,139,4,0
PTCH_RATE_FF,103,0,267,4,0.344999999
PTCH_RATE_IMAX,103,0,331,4,0.666000009
PTCH_RATE_FLTT,103,0,587,4,3
PTCH_RATE_FLTE,103,0,651,4,0
PTCH_RATE_FLTD,103,0,715,4,12
PTCH_RATE_SMAX,103,0,779,4,150
PTCH_RATE_PDMX,103,0,843,4,0
PTCH_RATE_D_FF,103,0,907,4,0
PTCH_RATE_NTF,103,0,971,1,0
PTCH_RATE_NEF,103,0,1035,1,0
YAW2SRV_SLIP,104,0,0,4,0
YAW2SRV_INT,104,0,1,4,0
YAW2SRV_DAMP,104,0,2,4,0
YAW2SRV_RLL,104,0,3,4,1
YAW2SRV_IMAX,104,0,5,2,1500
YAW_RATE_ENABLE,104,0,6,1,0
YAW_RATE_P,104,0,4041,4,0.0399999991
YAW_RATE_I,104,0,73,4,0.150000006
YAW_RATE_D,104,0,137,4,0
YAW_RATE_FF,104,0,265,4,0.150000006
YAW_RATE_IMAX,104,0,329,4,0.666000009
YAW_RATE_FLTT,104,0,585,4,3
YAW_RATE_FLTE,104,0,649,4,0
YAW_RATE_FLTD,104,0,713,4,12
YAW_RATE_SMAX,104,0,777,4,150
YAW_RATE_PDMX,104,0,841,4,0
YAW_RATE_D_FF,104,0,905,4,0
YAW_RATE_NTF,104,0,969,1,0
YAW_RATE_NEF,104,0,1033,1,0
STEER2SRV_TCONST,105,0,0,4,0.75
STEER2SRV_P,105,0,1,4,1.79999995
STEER2SRV_I,105,0,3,4,0.200000003
STEER2SRV_D,105,0,4,4,0.00499999989
STEER2SRV_IMAX,105,0,5,2,1500
