#chirp
config,time,output,freq_rads,complete
no_fade,1080620482,1049924508,1091866789,0
no_fade,1080662425,1045231520,1091877242,0
no_fade,1080704368,1037946716,1091887705,0
no_fade,1080746311,1014795556,1091898180,0
no_fade,1080788254,3181323501,1091908666,0
no_fade,1080830197,3190707852,1091919163,0
no_fade,1080872140,3196442685,1091929672,0
no_fade,1080914083,3199428447,1091940192,0
no_fade,1080956027,3202314476,1091950723,0
no_fade,1080997970,3204761640,1091961266,0
no_fade,1081039913,3206066901,1091971819,0
no_fade,1081081856,3207285484,1091982384,0
no_fade,1081123799,3208406251,1091992961,0
no_fade,1081165742,3209419059,1092003548,0
no_fade,1081207685,3210314499,1092014147,0
no_fade,1081249628,3211084322,1092024758,0
no_fade,1081291571,3211721174,1092035380,0
no_fade,1081333514,3212219015,1092046013,0
no_fade,1081375457,3212572910,1092056658,0
no_fade,1081417400,3212779241,1092067314,0
no_fade,1081459343,3212835674,1092077981,0
no_fade,1081501286,3212741223,1092088661,0
no_fade,1081543229,3212496237,1092099351,0
no_fade,1081585172,3212102478,1092110053,0
no_fade,1081627115,3211562994,1092120767,0
no_fade,1081669058,3210882266,1092131491,0
no_fade,1081711001,3210065984,1092142228,0
no_fade,1081752944,3209121164,1092152976,0
no_fade,1081794887,3208055980,1092163736,0
no_fade,1081836830,3206879930,1092174507,0
no_fade,1081878773,3205603420,1092185289,0
no_fade,1081920716,3204027103,1092196083,0
no_fade,1081962659,3201142182,1092206889,0
no_fade,1082004603,3198129569,1092217707,0
no_fade,1082046546,3193974530,1092228536,0
no_fade,1082088489,3187542363,1092239377,0
no_fade,1082130432,3169097106,1092250229,0
no_fade,1082151403,1032618095,1092261093,0
no_fade,1082172375,1042842933,1092271969,0
no_fade,1082193346,1048881341,1092282856,0
no_fade,1082214318,1051975225,1092293755,0
no_fade,1082235289,1054961674,1092304665,0
no_fade,1082256261,1057388445,1092315588,0
no_fade,1082277232,1058732082,1092326522,0
no_fade,1082298204,1059981215,1092337468,0
no_fade,1082319175,1061123585,1092348425,0
no_fade,1082340147,1062148167,1092359394,0
no_fade,1082361119,1063044664,1092370376,0
no_fade,1082382090,1063804216,1092381369,0
no_fade,1082403062,1064419034,1092392374,0
no_fade,1082424033,1064882804,1092403390,0
no_fade,1082445005,1065190606,1092414419,0
no_fade,1082465976,1065338968,1092425458,0
no_fade,1082486948,1065325946,1092436511,0
no_fade,1082507919,1065151141,1092447575,0
no_fade,1082528891,1064815741,1092458651,0
no_fade,1082549862,1064322472,1092469738,0
no_fade,1082570834,1063675591,1092480838,0
no_fade,1082591805,1062880984,1092491949,0
no_fade,1082612777,1061945849,1092503073,0
no_fade,1082633748,1060878910,1092514208,0
no_fade,1082654720,1059690300,1092525355,0
no_fade,1082675691,1058391074,1092536515,0
no_fade,1082696663,1056993913,1092547686,0
no_fade,1082717634,1054059900,1092558869,0
no_fade,1082738606,1050956248,1092570064,0
no_fade,1082759577,1046908644,1092581272,0
no_fade,1082780549,1040324116,1092592491,0
no_fade,1082801520,1021424428,1092603722,0
no_fade,1082822492,3180600384,1092614966,0
no_fade,1082843463,3190796051,1092626221,0
no_fade,1082864435,3196704278,1092637489,0
no_fade,1082885407,3199893389,1092648769,0
no_fade,1082906378,3202962825,1092660060,0
no_fade,1082927350,3205164924,1092671365,0
no_fade,1082948321,3206533864,1092682681,0
no_fade,1082969293,3207798208,1092694009,0
no_fade,1082990264,3208944752,1092705349,0
no_fade,1083011236,3209961581,1092716702,0
no_fade,1083032207,3210837827,1092728067,0
no_fade,1083053179,3211564120,1092739444,0
no_fade,1083074150,3212132512,1092750833,0
no_fade,1083095122,3212536662,1092762234,0
no_fade,1083116093,3212771925,1092773647,0
no_fade,1083137065,3212835325,1092785073,0
no_fade,1083158036,3212725640,1092796512,0
no_fade,1083179008,3212443447,1092807962,0
no_fade,1083199979,3211991129,1092819425,0
no_fade,1083220951,3211372851,1092830900,0
no_fade,1083241922,3210594466,1092842387,0
no_fade,1083262894,3209663634,1092853887,0
no_fade,1083283865,3208589612,1092865398,0
no_fade,1083304837,3207383066,1092876923,0
no_fade,1083325808,3206056468,1092888459,0
no_fade,1083346780,3204623046,1092900009,0
no_fade,1083367751,3201747739,1092911570,0
no_fade,1083388723,3198545507,1092923144,0
no_fade,1083409695,3194389215,1092934731,0
no_fade,1083430666,3187489184,1092946329,0
no_fade,1083451638,3165260972,1092957941,0
no_fade,1083472609,1034478310,1092969565,0
no_fade,1083493581,1044207736,1092981200,0
no_fade,1083514552,1049766688,1092992849,0
no_fade,1083535524,1053042462,1093004510,0
no_fade,1083556495,1056183632,1093016184,0
no_fade,1083577467,1058060093,1093027870,0
no_fade,1083598438,1059445303,1093039569,0
no_fade,1083619410,1060714470,1093051281,0
no_fade,1083640381,1061853271,1093063004,0
no_fade,1083661353,1062849012,1093074741,0
no_fade,1083682324,1063690420,1093086489,0
no_fade,1083703296,1064367824,1093098251,0
no_fade,1083724267,1064873225,1093110026,0
no_fade,1083745239,1065200537,1093121813,0
no_fade,1083766210,1065345597,1093133612,0
no_fade,1083787182,1065306237,1093145425,0
no_fade,1083808153,1065082292,1093157250,0
no_fade,1083829125,1064675638,1093169087,0
no_fade,1083850096,1064090209,1093180937,0
no_fade,1083871068,1063331912,1093192801,0
no_fade,1083892039,1062408588,1093204677,0
no_fade,1083913011,1061330106,1093216565,0
